0,1,2
"6.6.1	
General guidelines recommendations for the treatment of prostate cancer",,
"Recommendations
Strength rating",,
Low-risk disease,,
"Watchful Waiting 
(WW)","Offer WW to patients with a life expectancy < 10 years.
Strong",
"Active 
surveillance (AS)","Manage patients with a life expectancy > 10 years and low-risk 
Strong
disease by AS.",
,Selection of patients,
,"Patients with intraductal histology on biopsy should be excluded from 
AS.",Strong
,"Perform magnetic resonance imaging (MRI) before a confirmatory 
biopsy if no MRI has been performed before the initial biopsy.",Strong
,"Take both targeted biopsy (of any PI-RADS > 3 lesion) and systematic 
biopsy if a confirmatory biopsy is performed.",Weak
,"If MRI is not available, per-protocol confirmatory prostate biopsies 
should be performed.",Weak
,"If a patient has had upfront MRI followed by systematic and targeted 
biopsies there is no need for confirmatory biopsies.",Weak
