0,1,2
Table 3.2: Stone composition,,
Chemical name,Mineral name [15],Chemical formula
Calcium oxalate monohydrate,Whewellite,CaC2O4.H2O
Calcium oxalate dihydrate,Weddelite,CaC2O4.2H2O
Basic calcium phosphate,Apatite,Ca10(PO4)6.(OH)2
Calcium hydroxyl phosphate,Carbonate apatite,Ca5(PO4)3(OH)
b-tricalcium phosphate,Whitlockite,Ca3(PO4)2
Carbonate apatite phosphate,Dahllite,Ca5(PO4)3OH
Calcium hydrogen phosphate dihydrate,Brushite,CaHPO4.2H2O
Calcium carbonate,Aragonite,CaCO3
Octacalcium phosphate,-,Ca8H2(PO4)6.5H2O
Uric acid,Uricite,C5H4N4O3
Uric acid dihydrate,Uricite,C5H4O3.2H20
Ammonium urate,-,NH4C5H3N4O3
Sodium acid urate monohydrate,-,NaC5H3N4O3.H2O
Magnesium ammonium phosphate hexahydrate,Struvite,MgNH4PO4.6H2O
Magnesium acid phosphate trihydrate,Newberyite,-
Magnesium ammonium phosphate monohydrate,Dittmarite,-
Cystine,-,-
Xanthine,-,-
"2,8-Dihydroxyadenine",-,-
Proteins,-,-
Cholesterol,-,-
Calcite,-,-
Potassium urate,-,-
Trimagnesium phosphate,-,-
Melamine,-,-
Matrix,-,-
Drug stones,"Active compounds 
crystallising in urine",-
Foreign body calculi,-,-
