0,1
"4.5.4	
Diagnostic evaluation of scrotal pain syndrome",
Summary of evidence,LE
Primary bladder pain syndrome has no known single aetiology.,3
Pain in PBPS does not correlate with bladder cystoscopic or histologic findings.,2a
Primary bladder pain syndrome Type 3 C can only be confirmed by cystoscopy and histology.,2a
Lesion/non-lesion disease ratios of PBPS are highly variable between studies.,2a
The prevalence of PBPS-like symptoms is high in population-based studies.,2a
Primary bladder pain syndrome occurs at a level higher than chance with other pain syndromes.,2a
Primary bladder pain syndrome has an adverse impact on QoL.,2a
Reliable instruments assessing symptom severity as well as phenotypical differences exist.,2a
