0,1
"7.3.3	
Summary of evidence and recommendations for the treatment of metastatic UTUC",
"Recommendations
Strength rating",
First-line treatment for platinum-eligible patients,
Offer platinum combination chemotherapy to platinum-eligible patients.,Strong
"Offer cisplatin-based chemotherapy with gemcitabine/cisplatin or HD-MVAC to cisplatin-
eligible patients.",Strong
"Offer maintenance avelumab to patients who did not have disease progression after 4 to  
6 cycles of gemcitabine plus cisplatin/carboplatin.",Strong
First-line treatment in patients ineligible for cisplatin or carboplatin,
"Offer gemcitabine/carboplatin chemotherapy to cisplatin-ineligible patients.
Strong",
"Offer checkpoint inhibitors pembrolizumab or atezolizumab to patients with PD-L1 positive 
Weak
tumours.",
Second-line treatment,
"Offer checkpoint inhibitor (pembrolizumab) to patients with disease progression during or 
after platinum-based combination chemotherapy for metastatic disease.",Strong
"Offer enfortumab vedotin to patients previously treated with platinum-containing 
chemotherapy and who had disease progression during or after treatment with a PD-1 or 
PD-L1 inhibitor.",Strong
