0,1
"3.11.4.8	
Summary of evidence and recommendations for the diagnosis of bacterial prostatitis",
Recommendations,Strength rating
Do not perform prostatic massage in acute bacterial prostatitis (ABP).,Strong
"Take a mid-stream urine dipstick to check nitrite and leukocytes in patients with clinical 
suspicion of ABP.",Weak
"Take a mid-stream urine culture in patients with ABP symptoms to guide diagnosis and 
tailor antibiotic treatment.",Weak
Take a blood culture and a total blood count in patients presenting with ABP.,Weak
"Perform accurate microbiological evaluation for atypical pathogens such as Chlamydia 
trachomatis or Mycoplasmata in patients with chronic bacterial prostatitis (CBP).",Weak
Perform the Meares and Stamey 2- or 4-glass test in patients with CBP.,Strong
"Perform transrectal ultrasound in selected cases to rule out the presence of prostatic 
abscess.",Weak
Do not routinely perform microbiological analysis of the ejaculate alone to diagnose CBP.,Weak
