0,1,2,3,4,5,6,7,8
"Table 4.4: Solute excretion in 24-hour urine samples in children [596, 597]*",,,,,,,,
"Calcium/24 
hour",Citrate/24 hour,,Cystine/24 hour,,Oxalate/24 hour,,Urate/24 hour,
All age groups,Boys,Girls,< 10 years,> 10 years,"All age 
groups",< 1 year,1-5 years,> 5 years
"< 0.1 mmol/kg/
24 h","> 1.9 mmol/ 
1.73 m2/24 h","> 1.6 mmol/ 
1.73 m2/24 h","< 55 μmol/ 
1.73 m2/24 h","< 200 μmol/
1.73 m2/24 h","< 0.5 mmol/
1.73 m2/24 h","< 70 μmol/
kg/24 h","< 65 mμmol/
kg/24 h","< 55 μmol/
kg/24 h"
< 4 mg/kg/24 h,"> 365 mg/
1.73 m2/24 h","> 310 mg/
1.73 m2/24 h","< 13 mg/ 
1.73 m2/24 h","< 48 mg/
1.73 m2/24 h","< 45 mg /
1.73 m2/24 h","< 13 mg/
kg/24 h","< 11 mg/
kg/24 h","< 9.3 mg/
kg/24 h"
Nutritional advice for a balanced diet,Balanced diet*,,,,,,,
,Rich in vegetables and fibre,,,,,,,
,Normal calcium content: 1-1.2 g/day,,,,,,,
,Limited NaCl content: 4-5 g/day,,,,,,,
,Limited animal protein content: 0.8-1.0 g/kg/day,,,,,,,
Lifestyle advice to normalise general risk factors,BMI: Retain a normal BMI level,,,,,,,
,Adequate physical activity,,,,,,,
,Balancing of excessive fluid loss,,,,,,,
,Reduce the intake of alcohol containing fluids,,,,,,,
,"Reduce the intake of sodas and calorie-containing 
fluids",,,,,,,
