0,1
"7.3.10	
Summary of evidence and guidelines for radical cystectomy and urinary diversion",
Recommendations,Strength rating
"Do not delay radical cystectomy (RC) for > 3 months as it increases the risk of progression 
and cancer-specific mortality, unless the patient receives neoadjuvant chemotherapy.",Strong
"Perform at least 10, and preferably > 20, RCs per hospital/per year.",Strong
"Before RC, fully inform the patient about the benefits and potential risks of all possible 
alternatives. The final decision should be based on a balanced discussion between the 
patient and the surgeon.",Strong
"Do not offer an orthotopic bladder substitute diversion to patients who have an invasive 
tumour in the urethra or at the level of urethral dissection.",Strong
Do not offer pre-operative bowel preparation.,Strong
Employ ‘Fast track’ measurements to reduce the time to bowel recovery.,Strong
"Offer pharmacological VTE prophylaxis, such as low-molecular-weight heparin to RC 
patients, starting the first day post-surgery, for a period of at least 4 weeks.",Strong
"Offer RC to patients with T2–T4a, N0M0 disease or very high-risk non-muscle-invasive 
bladder cancer.",Strong
Perform a lymph node dissection as an integral part of RC.,Strong
