0,1
Summary of evidence and guidelines for neoadjuvant therapy,
Summary of evidence,LE
Neoadjuvant cisplatin-containing combination chemotherapy improves OS (5–8% at five years).,1a
Neoadjuvant treatment may have a major impact on OS in patients who achieve ypT0 or < ypT2.,2a
"Currently immunotherapy with checkpoint inhibitors as monotherapy, or in different combinations with 
or without chemotherapy, is being tested in phase II and III trials. Initial results are promising.",-
"There are still no reliable tools available to select patients who have a higher probability of benefitting 
from NAC. In the future, genetic markers in a personalised medicine setting might facilitate the 
selection of patients for NAC and differentiate responders from non-responders.",-
Recommendations,Strength rating
"If eligible for cisplatin-based chemotherapy, offer neoadjuvant cisplatin-based combination 
chemotherapy to patients with muscle-invasive bladder cancer (T2-T4a, cN0 M0).",Strong
Do not offer NAC to patients who are ineligible for cisplatin-based combination chemotherapy.,Strong
Only offer neoadjuvant immunotherapy to patients within a clinical trial setting.,Strong
