0,1,2,3,4
Table 1:  Summary of cure and discontinuation rates of anticholinergic drugs from RCTs [163],,,,
"Drug
No. of 
No. of 
RR (95% CI) 
NNT (95% CI) 
studies
patients
(of curing UI)
(to achieve one cure of UI)",,,,
Cure of incontinence,,,,
Fesoterodine,2,"2,465",1.3 (1.1–1.5),8 (5–17)
Oxybutynin (includes IR),4,992,1.7 (1.3–2.1),9 (6–16)
Propiverine (includes IR),2,691,1.4 (1.2–1.7),6 (4–12)
Solifenacin,5,304,1.5 (1.4–1.6),9 (6–17)
Tolterodine (includes IR),4,"3,404",1.2 (1.1–1.4),12 (8–25)
Trospium (includes IR),4,"2,677",1.7 (1.5–2.0),9 (7–12)
Discontinuation due to adverse events,,,,
,,,"RR (95% CI) 
(of discontinuation)","NNT (95% CI) 
(for one discontinuation)"
Darifenacin,7,"3,138",1.2 (0.8–1.8),
Fesoterodine,4,"4,433",2.0 (1.3–3.1),33 (18–102)
Oxybutynin (includes IR),5,"1,483",1.7 (1.1–2.5),16 (8–86)
Propiverine (includes IR),2,"1,401",2.6 (1.4–5),29 (16–77)
Solifenacin,7,"9,080",1.3 (1.1–1.7),78 (39–823)
Tolterodine (includes IR),10,"4,466",1.0 (0.6–1.7),
Trospium (includes IR),6,"3,936",1.5 (1.1–1.9),56 (30–228)
