0,1,2,3,4,5
"Table 4.6: Pharmacological substances used for stone prevention - characteristics, specifics and dosage",,,,,
Agent,Rationale,Dose,"Specifics and side 
effects",Stone type,Ref
Alkaline citrates,"Alkalinisation
Hypocitraturia
Inhibition of 
calcium oxalate 
crystallisation","5-12 g/d 
(14-36 mmol/d)
Children: 
0.1-0.15 g/kg/d","Daily dose for 
alkalinisation depends 
on urine pH.","Calcium oxalate
Uric acid
Cystine",[627-632]
Allopurinol,"Hyperuricosuria
Hyperuricaemia","100-300 mg/d
Children: 
1-3 mg/kg/d","100 mg in isolated
hyperuricosuria.
Renal insufficiency
demands dose
correction. 
Contraindicated in 
acute gout, pregnancy, 
and breastfeeding.
Allergies from trivial 
to very severe forms, 
xanthine stone 
formation.","Calcium oxalate
Uric acid
Ammonium urate
2,8-Dihydroxyadenine","[597, 
633-636]"
Calcium,"Enteric 
hyperoxaluria","Up to 2,000 mg/d 
depending on 
oxalate excretion","Intake 30 min before 
meals.",Calcium oxalate,"[617, 619, 
620, 637]"
Captopril,"Cystinuria
Active decrease 
of urinary cystine 
levels",75-150 mg,"Second-line option 
in case of significant 
side effects of 
tiopronin.",Cystine,"[638, 639]"
Febuxostat,"Hyperuricosuria
Hyperuricaemia",80-120 mg/d,"Contraindicated in 
acute gout, pregnancy 
and breastfeeding.
Xanthine stone 
formation.","Calcium oxalate
Uric acid","[640, 641"
L-Methionine,Acidification,"600-1,500 mg/d","Hypercalciuria, bone 
demineralisation, 
systemic acidosis. 
No long-term therapy.","Infection stones
Ammonium urate
Calcium phosphate","[627, 642]"
Magnesium,"Isolated 
hypomagnesiuria 
Enteric 
hyperoxaluria","200-400 mg/d
Children: 
6 mg/kg/d","Renal insufficiency 
demands dose 
correction. 
Diarrhoea, chronic 
alkali losses, 
hypocitraturia.",Calcium oxalate,"[643, 644]
(Low level 
of
evidence)"
Sodium bicarbonate,"Alkalinisation
Hypocitraturia",4.5 g/d,N/A,"Calcium oxalate
Uric acid, Cystine",[645]
Pyridoxine,"Primary
hyperoxaluria","Initial dose 
5 mg/kg/d 
Max. 20 mg/kg/d","Sensory peripheral 
neuropathy.",Calcium oxalate,[646]
"Thiazide 
(Hydrochlorothiazide*)",Hypercalciuria,"25-50 mg/d
Children: 
0.5-1 mg/kg/d","Risk for hypotonic
blood pressure,
diabetes, 
hyperuricaemia,
hypokalaemia,
followed by
intracellular acidosis 
and hypocitraturia.","Calcium oxalate
Calcium phosphate","[623, 
627-636, 
638-656]"
Tiopronin,"Cystinuria 
Active decrease 
of urinary cystine 
levels","Initial dose 
800 mg/d
Avg. 2,000 mg/d**
Children:
Initial dose in 
patients > 20kg is 
15 mg/kg/day.
Avoid dosages  
> 50mg/kg/day","Risk for tachyphylaxis 
and proteinuria.",Cystine,[657-660]
