0,1,2,3,4,5
"Table 29:  Results of tunical shortening procedures for PD (data from different, non-comparable studies)",,,,,
,Tunical shortening procedures,,,,
,Nesbit,"Modified 
Nesbit",Yachia,"16-dot / 
mod16-dot","Simple 
plication"
No. of patients/studies,652 / 4,387 / 5,150 / 6,285 / 5,1068 / 18
"Significant penile 
shortening (%)*†",8.7% (5-39),3.2% (0-13),3.5% (0-10),5.9% (0-6),8.9% (0-55)
"Any penile shortening 
(%)*",21.8% (9-39),58.% (23-74),69% (47-97),44.6% (40-52),33.4% (0-90)
Penile straightening (%)*,88.5% (86-100),97.6% (92-100),95.5% (93-100),96.9% (95-100),94.7% (85-100)
"Post-operative de novo 
ED (%)*",6.9% (0-17),3% (0-13),9.6% (0-13),3.8% (0-13),8.1% (0-38)
"Penile hypoesthesia 
(%)*",11. 8% (2-60),5.6% (0-31),1% (0-3),8.2% (6-13),9% (0-47)
Overall satisfaction (%)*,83.5% (76-88),95.4% (87-100),86.8% (78-100),94% (86-100),86.4% (52-100)
Follow-up (months)*,(69-84),(19-42),(10-24),(18-71),(12-141)
