0,1
"Table 3.1 World Health Organization classification of renal tumours 2022 [23, 24]",
WHO classification of renal tumours 2022,
1.   Renal Cell Tumours,
"01.I 
Clear cell renal tumours",
"Clear cell RCC
Multilocular cystic renal neoplasm of low malignant potential",
,
"01.II 
Papillary renal tumours",
"Papillary adenoma
Papillary RCC",
,
"01.III 
Oncocytic and chromophobe renal tumours",
"Oncocytoma of the kidney
Chromophobe RCC
Other oncocytic tumours of the kidney",
,
,
"01.IV 
Collecting duct tumours",
Collecting duct carcinoma,
"01.V 
Other renal tumours",
,Clear cell papillary renal cell tumour
,Mucinous tubular and spindle cell carcinoma
,Tubulocystic RCC
,Acquired cystic disease-associated RCC
,Eosinophilic solid and cystic (ESC) RCC
,RCC NOS (Not Otherwise Specified)
"01.VI 
Molecularly defined renal tumours",
,TFE3-rearranged RCCs
,TFEB-altered RCC (TFEB-rearranged RCC and TFEB amplified RCC)
,ELOC (formerly TCEB1)-mutated RCC
,Fumarate hydratase-deficient RCC
,Succinate dehydrogenase-deficient RCC
,ALK-rearranged RCCs
,SMARCB1-deficient renal medullary carcinoma
2.   Metanephric tumours,
"Metanephric adenoma
Metanephric adenofibroma",
,
Metanephric stromal tumour,
3.   Mixed epithelial and stromal tumour family,
Mixed epithelial and stromal tumour,
Adult cystic nephroma,
4.   Renal mesenchymal tumours,
"04.I 
Adult renal mesenchymal tumours",
,Classic angiomyolipoma/PEComa of the kidney
,Epitheloid angiomyolipoma/epithelioid PEComa of the kidney
,Renal haemangioblastoma
,Juxtaglomerular cell tumour
,Renomedullary interstitial cell tumour
"04.II 
Paediatric renal mesenchymal tumours",
"Ossifying renal tumour of infancy 
Congenial mesoblastic nephroma
Rhabdoid tumour of kidney",
,
,
Clear cell sarcoma of kidney,
5.   Embryonal neoplasms of the kidney,
Nephroblastic tumours,
"Nephrogenic rests
Paediatric cystic nephroma
Cystic partially differentiated nephroblastoma",
,
,
Nephroblastoma,
6.   Miscellaneous tumours,
Germ cell tumours of the kidney,
