0,1
6.1.6 General guidelines for the treatment of prostate cancer*,
"Recommendations
Strength rating",
"Offer a watchful waiting policy to asymptomatic patients with clinically localised 
Strong
disease and with a life expectancy < 10 years (based on co-morbidities and age).",
Surgical treatment,
"Radical prostatectomy (RP) can be safely delayed for at least 3 months from 
Weak
diagnosis in any risk category.",
"When a lymph node dissection (LND) is deemed necessary based on a nomogram, 
Strong
perform an extended LND template for optimal staging.",
Radiotherapeutic treatment,
"Offer moderate hypofractionation (HFX) with IMRT/VMAT plus IGRT to the prostate 
to patients with localised disease (60 Gy/20 fractions in 4 weeks or 70 Gy/28 
fractions in 6 weeks).",Strong
"Offer low-dose rate (LDR) brachytherapy monotherapy to patients with good urinary 
function and low-risk or NCCN favourable intermediate-risk disease.",Strong
"Offer LDR or high-dose rate (HDR) brachytherapy boost combined with IMRT/
VMAT plus IGRT to patients with good urinary function and NCCN unfavourable 
intermediate-risk or high-risk disease and/or locally-advanced disease.",Weak
Active therapeutic options outside surgery or radiotherapy,
"Only offer focal therapy with high-intensity focused ultrasound or cryotherapy within 
Strong
a clinical trial or prospective registry.",
