0,1,2,3,4,5,6,7,8
Table 6.8: Results of endoluminal incision/resection for posterior non-traumatic stenosis,,,,,,,,
Study,Modality,Type,N,"Previous 
treatment (%)","FU 
(months)","Patency° 
(%)","Urinary 
incontinence 
(%)","Complications
(%)"
"Merrick  
et al. [381]","Dilatation/ 
“Cold knife” 
DVIU","Radiation-
induced 
BMS",29,0,NR,69,NR,NR
"Sullivan  
et al. [117]","Dilatation 
(n=15) / 
“Cold knife” 
DVIU (n=20)","Radiation-
induced 
BMS",39,0,"16  
(2-48)",51,11,NR
"Brede  
et al. [391]","“Cold knife” 
DVIU",VUAS,63,"Dilation 33
Incision 38
Both 29","11 
(1-144)",73,52*,NR
"Yurkanin  
et al. [389]","“Cold knife” 
DVIU",VUAS,61,Dilatation 100,"31 
(1-77)",87,12**,NR
"Giannarini  
et al. [390]","“Cold knife” 
DVIU",VUAS,43,0,"48  
(23-80)",74,0,NR
"Ramchandani  
et al. [375]","“Cold knife” 
DVIU",VUAS,10,0,NR,80,10,0
"Hayashi  
et al. [380]","“Cold knife” 
DVIU",VUAS,6,Dilatation: 100,NR,50,NR,NR
,"Holmium 
laser DVIU",VUAS,3,"Dilatation + 
DVIU: 100",11-37,100,0,NR
"Lagerveld  
et al. [394]","Holmium 
laser DVIU",VUAS,10,"None: 40
Endoscopic 
(dilatation +/- 
DVIU +/- ISD): 60","18  
(3-29)",100,0,0
"Ramirez  
et al. [388]","“Hot knife” 
DVIU","VUAS: 74%
BNS: 26%",50,None: 22,16,72,9,NR
"Gousse  
et al. [393]","“Hot knife” 
DVIU",VUAS,15,None,"15  
(6-26)",80,100***,NR
"Bang  
et al. [382]","“Hot knife” 
DVIU",VUAS,37,NR,"13  
(2-33)",65,100***,NR
"Popken  
et al. [392]","“Cold knife” 
DVIU",VUAS,6,None,12-72,50,0,NR
,TUR,VUAS,15,None,,47,0,NR
"Kranz  
et al. [398]",TUR,VUAS,87,NR,"27  
(1-98)",40.2,13.8,NR
,TUR,VUAS,60,NR,,58.3,1.7,NR
"Brodak  
et al. [395]","TUR 
(bipolar)",BNS,22,DVIU 45,"42  
(14-72)",91,NR,NR
,"Holmium 
laser DVIU",VUAS,17,DVIU: 12,,76,NR,NR
"Ozturk  
et al. [400]","TUR 
(bipolar)",VUAS,28,"Dilatation: 75
DVIU: 25","24  
(6-66)",82,0,0
"LaBossiere  
et al. [376]","Holmium 
laser DVIU",VUAS,70,NR,10,69,NR,NR
,"“Cold knife” 
DVIU",VUAS,8,NR,,25,NR,NR
,TUR,VUAS,36,NR,,39,NR,NR
Summary of evidence,LE,,,,,,,
"For non-obliterative VUAS and radiation-induced BMS, visually controlled dilatation and DVIU yield a 
patency rate of respectively 0-89% and 25-100% with a low complication rate. It can be performed 
under loco-regional anaesthesia.",3,,,,,,,
"During DVIU, deep incision might provoke injury to the rectum at the six o’ clock position and might 
provoke uro-symphyseal fistulation at the twelve o’clock position.",3,,,,,,,
