0,1
Table 8.3.1: PROMs assessing cancer specific quality of life [1417],
Questionnaire,Domains/items
"European Organisation for Research and Treatment of 
Cancer QLQ-C30 (EORTC QLQ-C30) [1418]","Five functional scales (physical, role, cognitive, 
emotional, and social); three symptom scales 
(fatigue, pain, and nausea and vomiting); global 
health status/QoL scale; and a number of single 
items assessing additional symptoms commonly 
reported by cancer patients (dyspnoea, loss of 
appetite, insomnia, constipation and diarrhoea) 
and perceived financial impact of the disease."
"European Organisation for Research and Treatment of 
Cancer QLQ-PR 25 (EORTC QLQ-PR 25) [1419]","Urinary, bowel and treatment-related symptoms, 
as well as sexual activity and sexual function."
"Functional Assessment of Cancer Therapy-General 
(FACT-G) [1420]","Physical well-being, social/family well-being, 
emotional well-being, and functional well-being."
"Functional Assessment of Cancer Therapy-Prostate 
(FACT-P) [1421]","12 cancer site specific items to assess for 
prostate-related symptoms. Can be combined with 
FACT-G or reported separately."
Expanded prostate cancer index composite (EPIC) [1422],"Urinary, bowel, sexual, and hormonal symptoms."
"Expanded prostate cancer index composite short form 
26 (EPIC 26) [1423]","Urinary, sexual, bowel, and hormonal domains."
UCLA Prostate Cancer Index (UCLA PCI) [1424],"Urinary, bowel, and sexual domains."
,"Prostate Cancer Quality of Life Instrument (PCQoL) [1425] Urinary, sexual, and bowel domains, supplemented 
by a scale assessing anxiety."
Prostate Cancer Outcome Study Instrument [1415],"Urinary, bowel, and sexual domains."
Recommendations,Strength rating
"Advise eligible patients for active surveillance that global quality of life is equivalent for up to 
5 years compared to radical prostatectomy or external beam radiotherapy (RT).",Strong
"Discuss the negative impact of surgery on urinary and sexual function, as well as the 
negative impact of RT on bowel function with patients.",Strong
"Advise patients treated with brachytherapy of the negative impact on irritative urinary 
symptomatology at one year but not after 5 years.",Weak
