0,1
Table 11: Specific diagnostic tests for ED,
Nocturnal Penile Tumescence and Rigidity (NTPR) using Rigiscan®,
"Vascular studies
- Intracavernous vasoactive drug injection
- Penile dynamic duplex ultrasonography
- Penile dynamic infusion cavernosometry and cavernosography
- Internal pudendal arteriography",
Specialised endocrinological studies,
Specialised psycho-diagnostic evaluation,
Recommendations,Strength rating
"Take a comprehensive medical and sexual history in every patient presenting with erectile 
dysfunction (ED). Consider psychosexual development, including life stressors, cultural 
aspects, and cognitive/thinking style of the patient regarding their sexual performance.",Strong
"Use a validated questionnaire related to ED to assess all sexual function domains (e.g., 
International Index of Erectile Function) and the effect of a specific treatment modality.",Strong
"Include a focused physical examination in the initial assessment of men with ED to identify 
underlying medical conditions and comorbid genital disorders that may be associated with ED.",Strong
"Assess routine laboratory tests, including glucose and lipid profile and total testosterone, to 
identify and treat any reversible risk factors and lifestyle factors that can be modified.",Strong
"Include specific diagnostic tests in the initial evaluation of ED in the presence of the 
conditions presented in Table 9.",Strong
