0,1
"Recommendations
Strength rating",
First-line treatment for cisplatin-eligible patients,
"New 2023 recommendation: Offer platinum combination chemotherapy to platinum-
Strong
eligible patients.",
First-line treatment in patients ineligible for cisplatin or carboplatin,
"New 2023 recommendation: Offer gemcitabine/carboplatin chemotherapy to 
cisplatin-ineligible patients.",Strong
"2022 recommendation: Offer checkpoint inhibitors pembrolizumab or atezolizumab 
depending on PD-L1 status.",Weak
"Revised 2023 recommendation: Offer checkpoint inhibitors pembrolizumab or 
atezolizumab to patients with PD-L1 positive tumours.",Weak
Second-line treatment,
"New 2023 recommendation: Offer enfortumab vedotin to patients previously treated 
with platinum-containing chemotherapy and who had disease progression during or 
after treatment with a PD-1 or PD-L1 inhibitor.",Strong
"2022 recommendation: Offer erdafitinib in platinum-refractory tumours with FGFR 
alterations.",Strong
"Revised 2023 recommendation: Offer erdafitinib as subsequent-line therapy 
to platinum-refractory patients with FGFR DNA genomic alterations (FGFR2/3 
mutations or FGFR3 fusions).",Weak
