0,1,2,3,4,5,6,7,8
Table 6.1: Results of DVIU in series with minimum follow-up > 12 months,,,,,,,,
Study,N,"Age 
(years)","Follow-up 
(months)",Location,"Length 
(cm)","Previous 
interventions","TTR 
(months)","Patency 
rate (%)"
"Al Taweel 
et al. [200]",301,"37 (range: 
17-82)",36,Bulbar: 227 (75%),1.3 (0.4-4.2),Primary: 47%,10,8.3
,,,,Penile: 50 (17%),,,,
,,,,,,Recurrent: 53% -,,-
,,,,Penobulbar: 24 (8%),,,,
"Barbagli  
et al. [199]",136,"37 (IQR: 
25-48)","55 (range: 
36-92)",Bulbar: 100%,"1-2 cm: 
45%",Primary: 100%,25,57
,,,,,"2-3 cm: 
40%",,,
,,,,,"3-4 cm: 
15%",,,
"Kluth et al. 
[198]",128,64 (SD: 16),16 (IQR:6-43),Penile: 15 (12),NR,Primary: 66%,8,52
,,,,Bulbar: 112 (88),,,,
,,,,,,Recurrent: 34% -,,-
,,,,Unknown: 1 (1%),,,,
"Pal et al. 
[201]",186,39 (SD:15),"1st DVIU: 58 
(SD: 15)",bulbar: 100%,NR,Primary: 69%,8.5,"1st  
DVIU: 30"
,,,"2nd DVIU: 56 
(SD: 15)",,,Repeat: 31%,-,"2nd  
DVIU: 23
3rd 
DVIU: 13"
,,,"3rd DVIU: 45 
(SD: 15)",,,,,
"Launonen 
et al. [202]",34,"6 (range: 
0-16)","79 (range: 
7-209)",Bulbar: 74%,"< 2 cm: 
85%",Primary: 100%,4,26%
,,,,Penile: 21%,"> 2 cm: 
15%",,,
,,,,Penobubar: 6%,-,,,
"Redon-
Galvez  
et al. [203]",67,"57 (range: 
15-91)","40 (range: 
12-120)",Penile:9%,"< 1 cm: 
82%",Primary: 90%,< 24,63%
,,,,Bulbar: 64%,"> 1 cm: 
18%",Repeat: 10%,-,-
,,,,VUA: 21%,,,,
,,,,Membranous: 6%,,,,
"Güler Y. 
[197]",234,"57 (range: 
22-74)","47 (range: 
24-56)",Penile: 34%,2.5 (0.4-5),Primary: 100%,-,"34%
30%
33%"
,,,,Bulbar: 59%,,,,
,,,,Membranous: 6%,,,,
"Harraz  
et al. [204]",430,50 (SD: 15),"29 (range: 
3-132)",Bulbar: 100%,< 2 cm,"NR, prior 
urethroplasty 
excluded",NR,58%
"Yürük  
et al. [67]",193,65 (SD: 13),36 (SD: 12),Bulbar: 100%,"< 1 cm: 140 
(73%)",0%,"87% of 
recurrence 
< 3",77%
,,,,,"1-2 cm:  
21 (11%)",-,"100% of 
recurrence 
< 6",-
,,,,,"2-3 cm:  
32 (17%)",,,
