0,1,2
"3.7.4	
Summary of evidence and recommendations for the management of congenital penile 
curvature",,
Recommendations,LE,Strength rating
"Take a medical history, assess clinical signs and symptoms and perform a physical 
examination to diagnose children suspected of having a urinary tract infection (UTI).",3,Strong
"Exclude bladder and bowel dysfunction in any toilet-trained child with febrile and/or 
recurrent UTI.",3,Strong
"Clean catch urine can be used for screening for UTI. Bladder catheterisation and 
suprapubic bladder aspiration to collect urine can be used for urine cultures.",2a,Strong
"Do not use plastic bags for urine sampling in non-toilet-trained children since it has 
a high risk of false-positive results.",2a,Strong
Midstream urine is an acceptable technique for toilet-trained children.,2a,Strong
"The choice between oral and parenteral therapy should be based on patient age; 
clinical suspicion of urosepsis; illness severity; refusal of fluids, food and/or oral 
medication; vomiting; diarrhoea; non-compliance; and complicated pyelonephritis.",2a,Strong
Treat febrile UTIs with four to seven day courses of oral or parenteral therapy.,1b,Strong
Treat complicated febrile UTI with broad-spectrum antibiotics.,1b,Strong
"Offer long-term antibacterial prophylaxis in case of high susceptibility to UTI and risk 
of acquired renal damage and lower urinary tract symptoms.",1b,Strong
"In selected cases consider dietery supplements as an alternative or add-on 
preventive measure.",2a,Strong
"In infants with febrile UTI use renal and bladder ultrasound to exclude obstruction of 
the upper and lower urinary tract within 24 hours.",2a,Strong
"In infants, exclude vesicoureteric reflux (VUR) after first epidose of febrile UTI with a 
non-E. Coli infection. In children more than one year of age with an E. Coli infection, 
exclude VUR after the second febrile UTI.",2a,Strong
