0,1,2,3
Table 3: Suggested regimens for empirical oral antimicrobial therapy in uncomplicated pyelonephritis,,,
Recommendations,Strength rating,,
"Treat patients with uncomplicated pyelonephritis not requiring hospitalisation with short 
course fluoroquinolones as first-line treatment.",Strong,,
"Treat patients with uncomplicated pyelonephritis requiring hospitalisation with an 
intravenous antimicrobial regimen initially.",Strong,,
"Switch patients initially treated with parenteral therapy, who improve clinically and can 
tolerate oral fluids, to oral antimicrobial therapy.",Strong,,
"Do not use nitrofurantoin, oral fosfomycin, and pivmecillinam to treat uncomplicated 
pyelonephritis.",Strong,,
Antimicrobial,Daily dose,"Duration of 
therapy",Comments
Ciprofloxacin,500-750 mg b.i.d,7 days,"Fluoroquinolone resistance should be less 
than 10%."
Levofloxacin,750 mg q.d,5 days,
"Trimethoprim 
sulfamethoxazol",160/800 mg b.i.d,14 days,"If such agents are used empirically, an initial 
intravenous dose of a long-acting parenteral 
antimicrobial (e.g. ceftriaxone) should be 
administered."
Cefpodoxime,200 mg b.i.d,10 days,
Ceftibuten,400 mg q.d,10 days,
