0,1
4.1.4.2.3.3 Summary of evidence and additional recommendations for use of anticholinergic and beta-3,
Summary of evidence,LE
Anticholinergic drugs are effective in elderly women suffering from OAB/UUI.,1b
Mirabegron has been shown to be efficacious and safe in elderly women suffering from OAB.,1b
"In older women the cognitive impact of drugs with anticholinergic effects is cumulative and increases 
with length of exposure.",2
Oxybutynin may worsen cognitive function in elderly women.,2
"Darifenacin, fesoterodine, solifenacin and trospium have not been shown to cause cognitive 
dysfunction in elderly women in short-term studies.",1b
Recommendations,Strength rating
"Long-term anticholinergic treatment should be used with caution in elderly women, especially 
those who are at risk of, or have pre-existing cognitive dysfunction.",Strong
"Assess anticholinergic burden and associated co-morbidity in women being considered for 
anticholinergic therapy for overactive bladder syndrome.",Weak
