0,1
6.2.1.4 Summary of evidence and guidelines for the management of low-risk disease*,
"Recommendations
Strength rating",
Watchful Waiting (WW),
"Offer WW in asymptomatic patients with life expectancy < 10 years.
Strong",
Radical prostatectomy (RP),
"Offer RP to patients with a life expectancy of > 10 years. 
Strong",
"Radical prostatectomy can be safely delayed for at least 3 months. 
Weak",
"Offer nerve-sparing surgery to patients with a low risk of extra-capsular disease on 
Strong
that side.",
Radiotherapeutic treatment,
"Offer LDR brachytherapy boost combined with IMRT/VMAT plus IGRT to patients 
with good urinary function and NCCN unfavourable intermediate-risk disease, in 
combination with short-term ADT (4–6 months).",Weak
"Offer high-dose rate (HDR) brachytherapy boost combined with IMRT/VMAT plus 
IGRT to patients with good urinary function and NCCN unfavourable intermediate-
risk disease, in combination with short-term ADT (4–6 months).",Weak
Other therapeutic options,
"Only offer whole-gland ablative therapy (such as cryotherapy, high-intensity focused 
Strong
ultrasound, etc.) or focal ablative therapy within clinical trials or registries.",
"Recommendations
Strength rating",
Watchful Waiting,
"Offer WW to asymptomatic patients with life expectancy < 10 years.
Strong",
Radical prostatectomy (RP),
"Radical prostatectomy can be safely delayed for at least 3 months. 
Weak",
"Recommendations
Strength rating",
Radical prostatectomy (RP),
"Offer RP to patients with cN0 disease as part of multi-modal therapy. 
Weak",
Radiotherapeutic treatment,
"Offer IMRT/VMAT plus IGRT to the prostate in combination with long-term ADT and 
2 years of abiraterone to cN0M0 patients with > 2 high-risk factors (cT3-4, Gleason 
> 8 or PSA > 40 ng/mL).",Strong
"Offer IMRT/VMAT plus IGRT to the prostate plus pelvis in combination with  
long-term ADT and 2 years of abiraterone to cN1M0 patients.",Strong
"Offer patients with cN1 disease a local treatment (either RP or IMRT/VMAT plus 
IGRT) plus long-term ADT.",Strong
