0,1,2
Table 13: Suggested regimens for antimicrobial prophylaxis prior to urological procedures,,
"Use antibiotic prophylaxis to reduce infectious complications in men undergoing 
transurethral resection of the prostate.",Strong,
"Use antibiotic prophylaxis to reduce infectious complications in high-risk patients 
undergoing transurethral resection of the bladder.",Weak,
"Perform prostate biopsy using the transperineal approach due to the lower risk of infectious 
complications.",Strong,
Use routine surgical disinfection of the perineal skin for transperineal biopsy.,Strong,
Use rectal cleansing with povidone-iodine in men prior to transrectal prostate biopsy.,Strong,
"Do not use fluoroquinolones for prostate biopsy in line with the European Commission final 
decision on EMEA/H/A-31/1452.",Strong,
"Use either target prophylaxis based on rectal swab or stool culture; augmented prophylaxis 
(two or more different classes of antibiotics); or alternative antibiotics (e.g. fosfomycin 
trometamol*, cephalosporin, aminoglycoside) for antibiotic prophylaxis for transrectal 
biopsy.",Weak,
Procedure,"Prophylaxis 
recommended",Antimicrobial
Urodynamics,No,N/A
Cystoscopy,No,
"Extracorporeal shockwave 
lithotripsy",No,
Ureteroscopy,Yes,"Trimethoprim
Trimethoprim-sulphamethoxazole
Cephalosporin group 2 or 3
Aminopenicillin plus a beta-lactamase inhibitor"
"Percutaneous 
nephrolithotomy",Yes (single dose),
"Transurethral resection of 
the prostate",Yes,
"Transurethral resection of 
the bladder","Yes, in patients who have a 
high risk of suffering post-
operative sepsis.",
Transrectal prostate biopsy,Yes,"1. 
Targeted prophylaxis - based on rectal swab 
or stool culture.
2. 
Augmented prophylaxis - two or more 
different classes of antibiotics*.
2. 
Alternative antibiotics 
•    fosfomycin trometamol** (e.g. 3 g before 
and 3 g 24-48 hrs after biopsy)
•    cephalosporin (e.g. ceftriaxone 1 g i.m.; 
cefixime 400 mg p.o. for 3 days starting 
24 hrs before biopsy)
•    aminoglycoside (e.g. gentamicin  
3mg/kg i.v.; amikacin 15mg/kg i.m.)"
