0,1
Table 3: Alternative regimens for pharmacological  prophylaxis,
Pharmacological agent,Dosage*
Low molecular weight heparins:,
Dalteparin,"5,000 IU injection once a day"
Enoxaparin,40 mg injection once a day
Tinzaparin,"3,500/4,500 IU injection once a day"
Unfractionated heparin,"5,000 IU injection two or three times a day"
Fondaparinux†,2.5 mg injection once a day
Direct acting oral anticoagulants†:,
Dabigatran,220 mg tablet once a day
Apixaban,2.5 mg tablet once a day
Edoxaban,30 mg tablet once a day
Rivaroxaban,10 mg tablet once a day
