0,1,2,3,4,5,6,7,8
Table 31: Summary of papers reporting objective penile measurements,,,,,,,,
Authors,Year,"Patients, n","Age, years","Flaccid 
length, 
cm","Stretched 
length, 
cm","Erect 
length, 
cm","Flaccid
circum-
ference, 
cm","Erect
circum-
ference,
cm"
Loeb [1345],1899,50; Caucasian,(17 – 35),9.41,NA,NA,NA,NA
"Ajmani et al. 
[1346]",1985,"320; African - 
Nigeria",(17-23),"8.19 
±0.94",NA,NA,"8.83 
±0.02",NA
"Schonfeld  
et al. [1347]",1942,"54; Caucasian - 
USA",(20 – 25),NA,13.02,NA,NA,NA
"Kinsey et al. 
[241]",1948,2770; Caucasian,(20 – 59),9.7,16.74,NA,NA,NA
"Bondil et al. 
[1348]",1992,"905; Caucasian - 
France","53.18 
±18.19","10.74 
±1.84","16.74 
±2.29",NA,NA,NA
"Richters et al. 
[1349]",1995,"156; Caucasian - 
Australia",NA,NA,NA,15.99,NA,NA
"Wessels et al. 
[1350]",1996,"80; Caucasian - 
USA","54  
±14.37","8.85 
±2.38","12.45 
±2.71","12.89 
±2.91","9.71 
±1.71","12.30 
±1.31"
"Smith et al. 
[1351]",1998,"184; Caucasian - 
Australia",NA,NA,NA,"15.71 
±2.31",NA,NA
"Bogaert et al. 
[1352]",1999,"3417; Caucasian -  
USA","30.45 
±11.27","9.83 
±1.80",NA,"15.60 
±1.88",NA,NA
"Ponchietti  
et al. [1353]",2001,"3300; Caucasian -  
Italy",(17 - 19),9 (5-12),"12.5  
(8 - 16.5)",NA,"10  
±0.75",NA
"Schneider  
et al. [1354]",2001,"111; Caucasian - 
Germany","18.24 
±0.43","8.60 
±1.50",NA,"14.48 
±1.99",NA,NA
"Spyropoulos 
et al. [1355]",2002,"52; Caucasian - 
Greece","25.9  
±4.4","7.76  
±1.3","12.18  
±1.7",NA,"8.68 
±1.12",NA
"Awwad et al. 
[1356]",2005,"271; Arab -  
Jordan","44.6  
±16.3","9.3  
±1.9","13.5  
±2.3",NA,"8.9  
±1.5",NA
"Mehraban  
et al. [1357]",2007,"1500; Arab -  
Iran","29.61 
±5.50",NA,"11.58 
±1.45",NA,"8.66 
±1.01",NA
"Promodu et al. 
[1358]",2007,301; Indian,"31.58 
±6.38","8.21 
±1.44","10.88 
±1.42","12.93 
±1.63","9.14 
±1.02","11.49 
±1.04"
"Aslan et al. 
[1359]",2011,"1132; Arab - 
Turkish",20.3 ±0.9,9.3 ±1.3,13.7 ±1.6,NA,NA,NA
"Choi et al. 
[1360]",2011,"144; oriental - 
Korea",57.3 ±16.5,7.7 ±1.7,11.7 ±1.9,NA,NA,NA
"Shalaby et al. 
[1361]",2014,"2000; African - 
Egypt","31.6  
± 4.2",NA,"13.84 
±1.35",NA,NA,NA
"Veale et al. 
[1342]",2014,"15521; Caucasian -  
UK",NA,"9.16 
±1.57","13.24 
±1.89","13.12 
±1.66","9.31 
±0.90","11.66 
±1.10"
"Habous et al. 
[1362]",2015,"778; Arab -  
Saudi Arabia","43.7  
(20–82)",NA,NA,"14.34 
±1.86",NA,"11.50 
±1.74"
"Hussein et al. 
[1363]",2017,"223; Arab -  
Iraq",41.3 ±15,9.8 ±2.0,12.6 ±1.9,NA,NA,NA
"Alves Barboza 
et al. [1364]",2018,"Tot 627 - Brazil 
African 167; 
Caucasian 283","53.6 ±15
53.8 ±13.8
53.7 ±15.5","NA
NA
NA","NA
16.5 ±1.7
15.8 ±1.6","NA
NA
NA","NA
NA
NA","NA
NA
NA"
"Di Mauro et al. 
[1365]",2021,"4685; Caucasian -  
Italy","19  
±6.2","9.47 
±2.69","16.78 
±2.55",NA,"9.59 
±3.08","12.03 
±3.82"
"Nguyen Hoai  
et al. [1366]",2021,"14597; Asian - 
Vietnam","33.1  
±10.7","9.03 
(5.10- 
13.20)","14.67 
(8.30- 
19.90)",NA,"8.39 
(5.34-
11.3)",NA
