0,1
4.1.4.1.4.5 Summary of evidence and recommendations for lifestyle interventions,
Summary of evidence,LE
Reduction of caffeine intake may reduce symptoms of frequency and urgency.,2
Reduction in fluid intake by 25% may help improve symptoms of OAB but not UI.,1b
"Personalised fluid intake advice when added to pharmacotherapy provides no additional benefit in 
patients with OAB.",2
"Obesity is a risk factor for UI in women, but the relationship to other OAB symptoms remains unclear.",1b
There is weak evidence that smoking cessation improves symptoms of OAB.,3
Recommendations,Strength rating
"Advise adults with OAB that reducing caffeine intake may improve symptoms of urgency 
and frequency, but not incontinence.",Strong
Review type and amount of fluid intake in patients with OAB.,Weak
"Encourage overweight and obese adults with overactive bladder (OAB)/urinary incontinence 
to lose weight and maintain weight loss.",Strong
Provide smoking cessation strategies to patients with OAB who smoke.,Strong
