0,1,2
Table 53: Lower reference limits (5th centiles and their 95% CIs) for semen characteristics,,
Parameter,"2010 Lower reference limit 
(95% CI)","2021 Lower reference limit 
(95% CI)"
Semen volume (mL),1.5 (1.4-1.7),1.4 (1.3-1.5)
Total sperm number (106/ejaculate),39 (33-46),39 (35-40)
Sperm concentration (106/mL),15 (12-16),16 (15-18)
"Total motility (PR + NP, %)",40 (38-42),42 (40-43)
"Progressive motility (PR, %)",32 (31-34),30 (29-31)
"Vitality (live spermatozoa, %)",58 (55-63),54 (50-56)
"Sperm morphology (normal forms, %)",4 (3.0-4.0),4 (3.9-4.0)
Other consensus threshold values,,
pH,> 7.2,> 7.2
Peroxidase-positive leukocytes (106/mL),< 1.0,< 1.0
Tests for antibodies on spermatozoa,,
"MAR test (motile spermatozoa with bound 
particles, %)",< 50,"No evidence-based reference 
values. Each laboratory should 
define its normal reference 
ranges by testing a sufficiently 
large number of normal fertile 
men."
"Immunobead test (motile spermatozoa with 
bound beads, %)",< 50,"No evidence-based reference 
limits."
Accessory gland function,,
Seminal zinc (μmol/ejaculate),> 2.4,> 2.4
Seminal fructose (μmol/ejaculate),> 13,> 13
Seminal neutral α-glucosidase (mU/ejaculate)  > 20,,> 20
