0,1,2,3,4,5
Table 50: Distal shunt procedures in ischaemic priapism,,,,,
Study,"N: (shunt/
shunt + 
tunnelling)","Duration of 
priapism 
(shunt/shunt + 
tunnelling)",Type of surgery,"Detumescence 
rate (shunt/shunt 
+ tunnelling)","Post-operative ED 
rate (shunt/shunt + 
tunnelling)"
"Ercole et al. 
[1641]",7 (7/0),2.6 d / NA,Al-Ghorab,100% / NA,57% / NA
"Macaluso et 
al. [1637]",12 (12/0),58 h / NA,Winter,100% / NA,17% / NA
"Nixon et al. 
[1632]",14 (14/0),42 h / NA,Winter,14% / NA,90% / NA
"Lund et al. 
[1639]",18 (18/0),"20 h to 8 
months / NA",Ebbehoj,61% / NA,39% / NA
"Brant et al. 
[1640]",13 (6/7),50 h / 80 h,"T-shunt/T-shunt + 
tunnelling",46% / 92%,16% / 57%
"Segal et al. 
[1645]",10 (0/10),NA / 60 h,"Al-Ghorab + 
tunnelling",NA / 80%,NA / 40%
"Zacharakis 
et al. [1635]",45 (0/45),NA / 96 h,"T-shunt + 
tunnelling",NA / 64%,NA / 93%
"Ortaç et al. 
[1633]",19 (6/13),48h / 70h,"T-shunt/T-shunt + 
tunnelling",31% / 94%,83% / 85%
Summary,138 (63/75),52h / 76h,-,60% / 82%,50% / 68%
