0,1,2,3,4,5,6,7,8
Table 43: Published data on evaluation of grafting techniques on penile girth enhancement,,,,,,,,
Author (year),Year,n,Study design,Technique,"Age, years","Follow up 
(months)","Girth gain 
(cm)","Complications, 
n (%)"
"Elist et al.  
[1545]",2018,400,Retrospective,"Subcutaneous 
silicone implant","35  
(22-68)",48,4.9,86 (21.5)
"Zhang et al. 
[1544]",2016,30,Retrospective,Dermal graft,"23.7  
(19-35)",13,1.5,1 (3.3)
"Xu et al.  
[1543]",2016,23,Retrospective,"SLR + skin 
advancement + 
dermal fat graft","23  
(18-33)",6,1.67,7 (30.43)
"Tealab et al. 
[1540]",2013,18,Retrospective,"Acellular collagen 
matrix graft","24  
(19-38)",12,2.3,8 (44.44)
"Mertziatis  
et al. [1542]",2013,82,Retrospective,"SLR + skin 
advancement + 
Dermal fat graft",24,12,2.2,25 (31.64)
"Spyropoulos  
et al. [1465]",2005,4,Retrospective,"SLR + Dermal  
fat graft",32,14,2.3,"No major 
complication"
"Alei et al.  
[1539]",2012,69,Retrospective,"Porcine dermal 
acellular matrix 
graft","28.2  
(19-59)",12,"Flaccid: 
3.2;   
Erect: 2.4",19 (27.5)
"Austoni et al. 
[1541]",2002,39,Retrospective,"Corporal venous 
graft",24-47,9,"Flaccid:  
no change, 
Erect: 2.9",1 (2.56)
Summary,N/A,N/A,N/A,N/A,18-68,6-48,0-4.9,0-44.44%
