0,1,2,3,4,5
Table 6.2: Predictors for urethral patency after direct vision internal urethrotomy,,,,,
Author,Location,Length,Calibre,Multiplicity,Prior DVIU
"Steenkamp et al. 
[196] / Heyns [209]","RR for recurrence 
penile vs. bulbar: 
1.85 (95% CI: 0.94 to 
3.67, p = 0.077)","< 2 cm: 60% 
(@12 months)",NR,NR,"None: 50-60%  
(@48 months)"
,-,"2-4 cm: 50% 
(@12m)",-,-,1: 0-40% (@48 months)
,-,"> 4 cm: 20% 
(@12 months)",-,-,2: 0% (@24 months)
Al Taweel et al. [200],Bulbar: 11%,< 1 cm: 27%,NR,NR,0: 12.1%
,Penile: 0%,1-2 cm: 0%,-,-,1: 7.9%
,Penobulbar: 0%,> 2 cm: 0%,-,-,> 1: 0%
Barbagli et al. [199],NA,"1-2 cm: 71% 
(@60 months)","pQmax 
< 5 ml/s: 31%",NA,0: 62%
,-,"2-3 cm: 51%
(@60 months)","pQmax 
5-8 ml/s: 53%",-,1: 37%
,-,"3-4 cm: 39%
(@60 months)","pQmax 
> 8 ml/s: 83%",-,-
Kluth et al. [198],Location no predictor,NR,"pQmax no 
predictor",NR,0: 60%
,-,-,-,-,> 1: 39%
Pal et al. [201],NA,< 1 cm: 45%,NR,Single: 35%,0: 30%
,-,1-1.5 cm: 0%,-,Multiple: 0%,1: 23%
,-,> 1.5 cm: 0%,-,-,2: 13%
Launonen [202],Bulbar: 76%*,< 2 cm: 83%*,NR,NR,0: 26%
,Penile: 71%*,> 2 cm: 0%*,-,-,1: 33%
,-,-,-,-,2: 26%
,-,-,-,-,3: 11%
,-,-,-,-,4: 0%
Redon-Galvez [203],NR,< 1 cm: 71%,NR,NR,NR
,-,> 1 cm: 25%,-,-,-
