0,1
3.14.6.3  Summary of evidence and recommendations for the treatment of anogenital warts,
Summary of evidence,LE
"A Cochrane review of published RCTs found imiquimod to be superior to placebo in achieving 
complete clearance of warts.",1b
"In an RCT sinecatechins 15% and 10% showed a complete clearance of all baseline and newly 
occurring warts in 57.2% and 56.3% of patients, respectively vs. 33.7% for placebo",1b
"A systematic review and meta‐analysis confirmed the effectiveness of podophyllotoxin 0.5% solution 
relative to placebo",1b
"A systematic review and meta-analysis reported that among all physician-applied therapy, surgical 
excision seemed to be the most effective at minimising risk of recurrence.",1a
Recommendations,Strength rating
"Use self-administered imiquimod 5% cream applied to all external warts overnight three 
times each week for sixteen weeks for the treatment of anogenital warts.",Strong
"Use self-administered sinecatechins 15% or 10% applied to all external warts three times daily 
until complete clearance, or for up to sixteen weeks for the treatment of anogenital warts.",Strong
"Use self-administered podophyllotoxin 0.5% self-applied to lesions twice daily for three days, 
followed by four rest days, for up to four or five weeks for the treatment of anogenital warts.",Strong
"Use cryotherapy or surgical treatment (excision, electrosurgery, electrocautery and laser 
therapy) to treat anogenital warts based on an informed discussion with the patient.",Strong
Summary of evidence,LE
"The role of therapeutic HPV vaccination in males in terms of effectiveness and safety is limited by the 
small number of relevant studies.",2
"Therapeutic HPV vaccination in males is moderately effective against persistent anogenital HPV16 
infection [(46.9% (28.6-60.8%)] and high-grade anal intraepithelial lesions [grade 2: 61.9% (21.4–82.8%); 
grade 3: 46.8% (20-77.9%)].",1b
