0,1,2,3,4,5
Table 11.2: Post-urethroplasty changes in IPSS values,,,,,
Author,N,"Mean pre-
operative value","Mean post-
operative value",Change,Significancy
"Morey AF et al. 
1998 [578]",50,26.9,4.4,NR,p < 0.0001
"DeLong J et al. 
2013 [575]",110,NR,NR,-11 (IQR -19 - -5),p < 0.001
"Maciejewski CC et al. 
2017 [565]",94,18.7 (+/- 9),5.8 (+/- 5),NR,p < 0.0001
Summary of evidence,LE,,,,
"Retrograde urethrography and urethrocystoscopy are able to identify anatomical success after a 
urethroplasty.",2a,,,,
"A significant gap was demonstrated between objective and subjective outcomes after urethroplasties. 
PROM questionnaires are specific tools to assess subjective outcomes and patient satisfaction after 
urethroplasty surgeries.",2a,,,,
Validated questionnaires proved useful to assess the consequences of urethral surgery on sexual function.,2a,,,,
Recommendations,Strength rating,,,,
"Use cystoscopy or retrograde urethrography to assess anatomic success after urethroplasty 
surgery.",Weak,,,,
Use PROM questionnaires to assess subjective outcomes and patient satisfaction.,Strong,,,,
Use validated questionnaires to evaluate sexual function after urethral stricture surgeries.,Strong,,,,
