0,1,2,3
Table 8: Suggested regimens for antimicrobial therapy for urethritis,,,
For GU dual treatment with ceftriaxone and azithromycin is the most effective combination.,2a,,
"In case of urogenital C. trachomatis infection in men azithromycin is probably less effective than 
doxycycline for microbiological failure, however, there might be little or no difference for clinical failure.",1a,,
"In case of U. urealyticum infection the efficacy of doxycycline 100 mg twice for seven days is similar to 
azithromycin 1 g single dose treatment.",2a,,
Recommendations,Strength rating,,
"Perform a Gram stain of urethral discharge or a urethral smear to preliminarily diagnose 
gonococcal urethritis.",Strong,,
"Perform a validated nucleic acid amplification test (NAAT) on a first-void urine sample 
or urethral smear prior to empirical treatment to diagnose chlamydial and gonococcal 
infections.",Strong,,
"Delay treatment until the results of the NAATs are available to guide treatment choice in 
patients with mild symptoms.",Strong,,
"Perform a urethral swab culture, prior to initiation of treatment, in patients with a positive 
NAAT for gonorrhoea to assess the antimicrobial resistance profile of the infective strain.",Strong,,
Use a pathogen directed treatment based on local resistance data.,Strong,,
Sexual partners should be treated maintaining patient confidentiality.,Strong,,
Pathogen,Antimicrobial,"Dosage & Duration 
of therapy",Alternative regimens
Gonococcal Infection,"Ceftriaxone 
Azithromycin","1 g i.m. or i.v.*, SD
1 g p.o., SD","• 
Cefixime 400 mg p.o., SD plus 
Azithromycin 1 g p.o., SD
In case of cephalosporin allergy:
• 
Gentamicin 240 mg i.m SD plus 
Azithromycin 2 g p.o., SD
• 
Gemifloxacin 320 mg p.o., SD plus 
Azithromycin 2 g p.o., SD
• 
Spectinomycin 2 g i.m., SD
• 
Fosfomycin trometamol 3 g p.o. on 
days 1, 3 and 5
In case of azithromycin allergy, in 
combination with ceftriaxone or cefixime:
• 
Doxycycline 100 mg b.i.d, p.o., 7 days"
"Non-Gonococcal 
infection
(non-identified 
pathogen)",Doxycycline,"100 mg b.i.d, p.o., 
7 days","Azithromycin 
500 mg p.o., day 1, 
250 mg p.o., 4 days"
Chlamydia trachomatis,"Azithromycin 
Or
Doxycycline","1.0-1.5 g p.o., SD
100 mg b.i.d, p.o., 
for 7 days","• 
Levofloxacin 500 mg p.o., q.d., 7 days
• 
Ofloxacin 200 mg p.o., b.i.d., 7 days"
Mycoplasma genitalium,Azithromycin,"500 mg p.o., day 1, 
250 mg p.o., 4 days","In case of macrolide resistance: 
• 
Moxifloxacin 400 mg q.d., 7-14 days"
Ureaplasma urealyticum,Doxycycline,"100 mg b.i.d, p.o.,
7 days","Azithromycin 1.0-1.5 g p.o., SD"
Trichomonas vaginalis,"Metronidazole 
Tinidazole","2 g p.o., SD
2 g p.o., SD","Metronidazole 500 mg p.o., b.i.d., 7 days"
Persistent non-gonococcal urethritis,,,
"After first-line 
doxycycline","Azithromycin
plus 
Metronidazole","500 mg p.o., day 1, 
250 mg p.o., 4 days 
400 mg b.i.d. p.o., 
5 days","If macrolide resistant M. genitalium is 
detected moxifloxacin should be substituted 
for azithromycin"
"After first-line 
azithromycin","Moxifloxacin 
plus
Metronidazole","400 mg p.o. q.d., 
7-14 days
400 mg b.i.d. p.o., 
5 days",
