0,1
Table 7.2: Advantages and disadvantages of centralisation,
Advantages,Disadvantages
Multi-disciplinary team and holistic approach to penile cancer care,De-skilling of urologists and their teams
"Opportunities for research, clinical trials and innovation",Distance patients need to travel
Improved survival,Financial burden of travel
High rates of penile-preserving surgery,Lack of local support for patients
High rates of surgical nodal staging,
Specialist lymphoedema services,
Specialist uro-radiology/nuclear medicine,
Specialist pathology reporting/review,
Psychological support,
Adherence to guidelines,
Clear referral pathway/reduced system delays,
