0,1,2,3,4,5,6,7
Table 41: Published data on evaluation of Hyaluronic acid injection therapy on penile girth enhancement,,,,,,,
Author,Year,n,Study design,"Age, years","Follow-up, 
months","Girth gain, cm","Complications, 
n (%)"
"Zhang et al. 
[1522]",2022,38,Retrospective,31.2 ± 6.7,12,2.44 ± 1.14,3 (7.9)
"Ahn et al.  
[895]",2021,32,Multi-centre RCT,20-65,5-6,2.27± 1.26,2 (6.3)
"Quan et al. 
[1523]",2021,230,Retrospective,30.34±5.23,6,1.80 ± 0.83,10 (4.3)
"Yang et al. 
[1520]",2020,39,Multi-centre RT,19-65,5-6,2.1 ± 1.0,2 (5.13)
"Yang et al. 
[1521]",2020,33,Multi-centre RT,20-66,18,1.41 ± 1.48,3 (9.1)
"Yang et al. 
[1518]",2019,36,Multi-centre RT,20-65,11-12,1.69 ± 1.53,1 (2.78)
"Kwak et al. 
[1519]",2011,50,Retrospective,42.5 (27-61),18,3.78 ± 0.35,0 (0)
Summary,,N/A,N/A,19-66,5-18,1.40 – 3.78,0-9.1
