0,1
6.2.3.4 Guidelines for radical and palliative treatment of high-risk localised disease*,
"Recommendations
Strength rating",
Watchful Waiting (WW),
"Offer WW in asymptomatic patients with life expectancy < 10 years.
Strong",
Radical prostatectomy (RP),
"Offer RP to patients with a life expectancy of > 10 years. 
Strong",
"Radical prostatectomy can be safely delayed for at least 3 months. 
Weak",
"Offer nerve-sparing surgery to patients with a low risk of extra-capsular disease on 
Strong
that side.",
Radiotherapeutic treatment,
"Offer LDR brachytherapy boost combined with IMRT/VMAT plus IGRT to patients 
with good urinary function and NCCN unfavourable intermediate-risk disease, in 
combination with short-term ADT (4–6 months).",Weak
"Offer high-dose rate (HDR) brachytherapy boost combined with IMRT/VMAT plus 
IGRT to patients with good urinary function and NCCN unfavourable intermediate-
risk disease, in combination with short-term ADT (4–6 months).",Weak
Other therapeutic options,
"Only offer whole-gland ablative therapy (such as cryotherapy, high-intensity focused 
Strong
ultrasound, etc.) or focal ablative therapy within clinical trials or registries.",
