0,1,2,3,4,5,6,7
Table 4: Procedure-specific evidence summaries with recommendations for radical cystectomies,,,,,,,
Procedure,Outcome,"Baseline risk 
among 1000 
patients",,"Net benefit per 
1000 patients 
with pharma-
cological 
prophylaxis*","Certainty 
in 
estimate","Recommendations 
for
pharma cological  
prophylaxis","Recommendations
for mechanical 
prophylaxis"
"Cystectomy, 
Open","Venous 
thrombo-
embolism",Low-risk,29,13,Moderate,"Strong, for","Weak, for"
,,"Medium- 
risk",58,27,High,"Strong, for","Weak, for"
,,High risk,116,56,High,"Strong, for","Weak, for"
,"Bleeding
requiring 
reoperation",,3.0,,"Moderate/
High",,
"Cystectomy, 
Robotic","Venous
thrombo-
embolism",Low-risk,26,11,Low,"Weak, for","Weak, for"
,,"Medium-
risk",52,24,Low,"Weak, for","Weak, for"
,,High risk,103,50,Low,"Weak, for","Weak, for"
,"Bleeding
requiring 
reoperation",,3.0,,Low,,
